cluster algorithm, dataset size, total run time,,, cluster algorithm, update size, average run time,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
agglomerative, 100, 6,,,agglomerative, 0, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
OHClust!, 100, 1,,,OHClust!, 0, 0.0000,,,
OHClust!, 100, 0,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 125, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
agglomerative, 100, 6,,,agglomerative, 0, 0.0000,,,
OHClust!, 100, 1,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
OHClust!, 100, 0,,,OHClust!, 0, 0.0000,,,
OHClust!, 100, 0,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 550, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
OHClust!, 100, 1,,,OHClust!, 0, 0.0000,,,
OHClust!, 100, 1,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
OHClust!, 100, 1,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
agglomerative, 100, 6,,,agglomerative, 0, 0.0000,,,
OHClust!, 100, 0,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
agglomerative, 100, 4,,,agglomerative, 0, 0.0000,,,
OHClust!, 100, 1,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
OHClust!, 100, 0,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 10, 0.0000,,,
OHClust!, 100, 0,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
agglomerative, 100, 5,,,agglomerative, 0, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
-, 0, 0,,,-, 110, 0.0000,,,
OHClust!, 100, 1,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 0, 0.0000,,,
OHClust!, 100, 0,,,OHClust!, 0, 0.0000,,,
-, 0, 0,,,-, 10, 0.0000,,,
agglomerative, 100, 5,,,agglomerative, 0, 0.0000,,,
OHClust!, 100, 1,,,OHClust!, 0, 0.0000,,,
